benchmark,escaped_pct,fr_pct
VisA,9.9,3.2
VisA,3.4,0.4
VisA,8.6,6.8
VisA,9.5,4.5
VisA,9.8,4.3
VisA,8.3,4.5
VisA,11.6,4.3
VisA,8.9,2.549
VisA,9.5,5.1961
VisA,7.9,1.4
VisA,8.7,3.2
VisA,9,2.8333
VisA,6.4,2.4
VisA,2.3,0
VisA,7.2,1.6
VisA,8.9,2.7
VisA,8.1,3
VisA,9.3,3.9
VisA,5.1,2.2
VisA,4.4,3.2353
VisA,1.9,1.2745
VisA,5.4,0.2
VisA,8.4,3.5
VisA,7.4,3.5
VisA,9.3,3.8
VisA,3.7,0.4
VisA,8.7,4.6
VisA,9.8,4.8
VisA,10.1,3.4
VisA,9,4.4
VisA,12.6,4.2
VisA,9.3,3.4314
VisA,8.9,4.8039
VisA,8.4,2
VisA,8.4,2.8
VisA,8,2.5
VisA,6.7,2.4
VisA,3.1,0
VisA,7.4,1.2
VisA,8.8,2.6
VisA,8.9,3.5
VisA,9.7,4
VisA,5.1,2.3
VisA,4.4,3.5294
VisA,1.2,0.8824
VisA,4.8,0.2
VisA,9.4,3.6
VisA,8.9,3.6667
VisA,9.8,3.6
VisA,3.9,1.2
VisA,8.3,5.8
VisA,10,4.8
VisA,9.6,5
VisA,9.2,4.5
VisA,12.8,4.3
VisA,9,3.6275
VisA,9.8,4.7059
VisA,8,1.4
MPDD,10.6522,0
MPDD,4.6,0
MPDD,4,0
MPDD,0,0
MPDD,9,0
MPDD,8.1429,0
MPDD,11.3043,0
MPDD,7.2,0
MPDD,9,0
MPDD,0,0
MPDD,8.1429,0
MPDD,7,0
MPDD,10.2174,0
MPDD,5.8,0
MPDD,3.3333,0
MPDD,0,0
MPDD,8.5714,0
MPDD,8.1429,0
MPDD,10.6522,0
MPDD,7,0
MPDD,9.3333,0
MPDD,0,0
MPDD,8.4286,0
MPDD,7.1429,0
MPDD,10.2174,0
MPDD,5.4,0
MPDD,3,0
MPDD,0,0
MPDD,8.5714,0
MPDD,8.2857,0
MPDD,10.2174,0
MPDD,7.2,0
MPDD,8.6667,0
MPDD,0,0
MPDD,8.5714,0
MPDD,7.4286,0
MPDD,10.6522,0
MPDD,5.8,0
MPDD,4.3333,0
MPDD,0,0
MPDD,9.7143,0
MPDD,8.4286,0
MPDD,10.4348,0
MPDD,7.4,0
