cell,bench,b1,gate,deferral,row_idx
dinomaly:macaroni2,VisA,0.48,0.078,0.189,7
dinomaly:macaroni1,VisA,0.332,0.079,0.0595,6
dinomaly:screw,MVTec,0.242372881355932,0.0796610169491525,0.03625,5
dinomaly:candle,VisA,0.214,0.079,0.0355,4
dinomaly:capsule,MVTec,0.189090909090909,0.0827272727272727,0.777272727272727,3
dinomaly:pill,MVTec,0.13169014084507,0.108450704225352,0.753571428571428,2
patchcore:pcb3,VisA,0.127,0.085,0.253465346534654,1
