direction,escaped_pp,false_reject_pp
patchcore->dinomaly,94.5,-2.2
patchcore->dinomaly,97.8,0
patchcore->dinomaly,92.7,-1.6
patchcore->dinomaly,92.3,-2.7
patchcore->dinomaly,92.2,-3.5
patchcore->dinomaly,90.5,-4.1
patchcore->dinomaly,95,-2.4
patchcore->dinomaly,94.5,-4.2156862745098
patchcore->dinomaly,98.8,-0.980392156862745
patchcore->dinomaly,95.1,-0.2
dinomaly->patchcore,-9,96.3
dinomaly->patchcore,-7.4,96.3333333333333
dinomaly->patchcore,-10.1,96.2
dinomaly->patchcore,-3.8,99.4
dinomaly->patchcore,-8.5,95.6
dinomaly->patchcore,-9.6,95.6
dinomaly->patchcore,-10.5,96
dinomaly->patchcore,-8.8,95.3
dinomaly->patchcore,-11.1,95.7
dinomaly->patchcore,-8.5,96.7647058823529
dinomaly->patchcore,-9.4,95.4901960784314
dinomaly->patchcore,-7.7,98.4
patchcore->dinomaly,90.2,-3.3
patchcore->dinomaly,91.4,-3
patchcore->dinomaly,93.8,-3
patchcore->dinomaly,97.7,0
patchcore->dinomaly,92.9,-1.2
patchcore->dinomaly,90.4,-2.7
patchcore->dinomaly,91.1,-3.1
patchcore->dinomaly,90.6,-4
patchcore->dinomaly,95.3,-2.3
patchcore->dinomaly,95.8,-3.43137254901961
patchcore->dinomaly,98.9,-0.686274509803922
patchcore->dinomaly,93.7,-0.8
dinomaly->patchcore,-9.9,95.9
dinomaly->patchcore,-8.4,95.6666666666667
dinomaly->patchcore,-10.3,96.8
dinomaly->patchcore,-3.7,99.6
dinomaly->patchcore,-8.3,93.4
dinomaly->patchcore,-9.4,95.5
dinomaly->patchcore,-9.2,95.6
dinomaly->patchcore,-8.2,95.4
dinomaly->patchcore,-11.9,96.4
dinomaly->patchcore,-9.1,96.2745098039216
dinomaly->patchcore,-9,95.4901960784314
dinomaly->patchcore,-6.7,98.6
patchcore->dinomaly,92,-3
patchcore->dinomaly,91.7,-3
patchcore->dinomaly,93.8,-3.2
patchcore->dinomaly,97.3,0
patchcore->dinomaly,92.7,-1
patchcore->dinomaly,91.1,-2.7
patchcore->dinomaly,92.3,-3
patchcore->dinomaly,90.2,-4.2
patchcore->dinomaly,94.8,-2.7
patchcore->dinomaly,94.9,-3.43137254901961
patchcore->dinomaly,98.8,-0.686274509803922
patchcore->dinomaly,92,-1.6
dinomaly->patchcore,-9.3,96.4
dinomaly->patchcore,-8.5,97.5
dinomaly->patchcore,-9.9,96.8
dinomaly->patchcore,-3.4,99.6
dinomaly->patchcore,-8.6,93.2
dinomaly->patchcore,-9.5,95.5
dinomaly->patchcore,-9.8,95.7
