bench,detector,min,max,p05,p95,median,overlap
mvtec,patchcore,0.169401884078979,1,0.288974070549011,1,0.699311375617981,0.240624465176017
mvtec,dinomaly,0.0426640473306179,0.399760335683823,0.0592693962156773,0.259192335605621,0.122036837041378,0.240624465176017
visa,patchcore,0.242025554180145,1,0.364817522466183,1,0.576006263494492,0.0534239543208869
visa,dinomaly,0.0362858772277832,0.293510973453522,0.0460875980556011,0.156774820387363,0.0665698200464249,0.0534239543208869
mpdd,patchcore,0,1,0.0874010935425758,0.998514938354492,0.608255356550217,0.352619927376509
mpdd,dinomaly,0.0492600984871387,0.401880025863647,0.0613368356600404,0.32737368196249,0.116715140640736,0.352619927376509
