category,label,g1_cert,g1_rate_pct,g2_cert,g2_rate_pct
bracket_black,bracket black,1,10.52,0,0.0
bracket_brown,bracket brown,1,6.32,0,0.0
bracket_white,bracket white,1,6.3,0,0.0
connector,connector,0,0.0,0,0.0
metal_plate,metal plate,1,8.83,0,0.0
tubes,tubes,1,7.81,0,0.0
