category,label,g1_cert,g1_rate_pct,g2_cert,g2_rate_pct
bottle,bottle,1,7.56,0,0.0
cable,cable,1,3.65,1,1.19
capsule,capsule,1,9.16,0,0.0
carpet,carpet,1,10.06,0,0.0
grid,grid,1,6.02,0,0.0
hazelnut,hazelnut,1,0.0,1,0.0
leather,leather,1,7.1,0,0.0
metal_nut,metal nut,1,7.72,0,0.0
pill,pill,1,10.44,0,0.0
screw,screw,1,9.99,1,3.5
tile,tile,1,8.81,0,0.0
toothbrush,toothbrush,1,5.5,0,0.0
transistor,transistor,1,5.1,1,2.15
wood,wood,1,8.05,0,0.0
zipper,zipper,1,9.6,0,0.0
